,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
150,ORAVIE EST, ORAVIE Cente (03),035853016,pv,CNA,36.12039864655856,5.073458495930178,AIN TAGHROUT,BORDJ BOU ARRERIDJ,Viandes,1,34
151,Marché,cité hama loulou souk-ahras,,pv,CNA,36.28894,7.97789,SOUK AHRAS,SOUK AHRAS,Fruits et légumes,2,41
152,Marché,centre ville souk-ahras,,pv,CNA,36.28375,7.955663,SOUK AHRAS,SOUK AHRAS,Fruits et légumes,2,41
153,Marché d'approximité,cité camp d'avion souk-ahras,,pv,CNA,36.27031,7.942471,SOUK AHRAS,SOUK AHRAS,Viandes,1,41
154,Marché,cité 26 avril souk-ahras,,pv,CNA,36.29115,7.943294,SOUK AHRAS,SOUK AHRAS,Fruits et légumes,2,41
155,Marché Num 02,cité omar ibn elkhattab souk-ahras,,pv,CNA,36.284824,7.950835,SOUK AHRAS,SOUK AHRAS,Fruits et légumes,2,41
156,Marché Num 02,cité omar ibn elkhattab souk-ahras,,pv,CNA,36.284824,7.950835,SOUK AHRAS,SOUK AHRAS,Viandes,1,41
157,Marché,amiria sedrata,,pv,CNA,36.13512,7.530102,SEDRATA,SOUK AHRAS,Fruits et légumes,2,41
158,Marché,amiria sedrata,,pv,CNA,36.13512,7.530102,SEDRATA,SOUK AHRAS,Viandes,1,41
159,Marché d'approximité,centre ville Bir Bou Haouch,,pv,CNA,36.014847,7.430266,BIR BOUHOUCHE,SOUK AHRAS,Fruits et légumes,2,41
160,Marché d'approximité,centre ville Bir Bou Haouch,,pv,CNA,36.014847,7.430266,BIR BOUHOUCHE,SOUK AHRAS,Viandes,1,41
161,Marché d'approximité,cité bouras laarbi Merahna,,pv,CNA,36.199635,8.157994,MERAHNA,SOUK AHRAS,Fruits et légumes,2,41
162,Marché d'approximité,cité bouras laarbi Merahna,,pv,CNA,36.199635,8.157994,MERAHNA,SOUK AHRAS,Viandes,1,41
163,Marché,centre ville merahna,,pv,CNA,36.194861,8.154443,MERAHNA,SOUK AHRAS,Fruits et légumes,2,41
164,Marché d'approximité,cité aataitia amor heddada,,pv,CNA,36.234033,8.335586,HADDADA,SOUK AHRAS,Fruits et légumes,2,41
165,Marché d'approximité,cité aataitia amor heddada,,pv,CNA,36.234033,8.335586,HADDADA,SOUK AHRAS,Viandes,1,41
166,Marché d'approximité,centre ville Ouled Driss,,pv,CNA,36.357258,8.026797,OULED DRISS,SOUK AHRAS,Fruits et légumes,2,41
167,Marché,centre ville Ouled Driss,,pv,CNA,36.357258,8.026797,OULED DRISS,SOUK AHRAS,Viandes,1,41
168,Marché,centre ville Mechroha,,pv,CNA,36.357931,7.837695,MECHROHA,SOUK AHRAS,Fruits et légumes,2,41
169,Marché,centre ville Mechroha,,pv,CNA,36.357931,7.837695,MECHROHA,SOUK AHRAS,Viandes,1,41
170,Marché d'approximité,el fidh Ouled Moumene,,pv,CNA,36.424057,8.356881,OULED MOUMEN,SOUK AHRAS,Fruits et légumes,2,41
171,Marché d'approximité,el fidh Ouled Moumene,,pv,CNA,36.424057,8.356881,OULED MOUMEN,SOUK AHRAS,Viandes,1,41
172,Rond point Medjnich,Rue Reouina Mohamed,,pv,CNA,34.832191,5.723822,BISKRA,BISKRA,Fruits et légumes,2,7
